City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Te Anau,NZ,-45.4167,167.7167,66.02,46,78,6.98,broken clouds
323,Shwebo,MM,22.5667,95.7,67.05,41,0,3.91,clear sky
324,Puerto Carreno,CO,6.189,-67.4859,82.0,58,49,14.32,scattered clouds
325,Santa Cruz,BO,-17.8,-63.1667,76.6,80,91,15.59,overcast clouds
326,Thurso,GB,58.5927,-3.5259,28.4,86,20,5.75,few clouds
327,Manhattan,US,40.7834,-73.9662,30.2,40,1,8.05,clear sky
328,Shushenskoye,RU,53.325,91.9356,-23.8,76,0,2.89,clear sky
329,Nikolskoye,RU,59.7035,30.7861,24.8,93,75,4.47,light snow
330,Steamboat Springs,US,40.485,-106.8317,26.6,100,90,8.05,overcast clouds
331,Araouane,ML,18.9048,-3.5265,65.73,22,81,10.54,broken clouds
332,Dukat,RU,62.55,155.55,-33.03,81,100,8.93,overcast clouds
333,Lengshuitan,CN,26.4111,111.5956,57.56,53,57,1.88,broken clouds
334,Lakes Entrance,AU,-37.8811,147.981,68.0,64,9,1.99,clear sky
335,Praia Da Vitoria,PT,38.7333,-27.0667,64.4,88,75,14.74,broken clouds
336,Bataipora,BR,-22.2953,-53.2711,72.05,96,100,5.23,light rain
337,Kampong Cham,KH,11.9934,105.4635,77.67,58,21,12.39,few clouds
338,Ginir,ET,7.1333,40.7,53.17,41,14,3.47,few clouds
339,Kanchanaburi,TH,14.6333,99.1,79.2,45,10,2.98,clear sky
340,Warrnambool,AU,-38.3833,142.4833,69.01,68,15,8.93,few clouds
341,Santa Maria,BR,-29.6842,-53.8069,69.8,100,90,6.91,moderate rain
342,Marica,BR,-22.9194,-42.8186,88.0,74,0,8.05,clear sky
343,Palana,RU,59.1167,159.9667,-5.85,90,52,21.07,broken clouds
344,Namibe,AO,-15.1961,12.1522,72.9,75,97,4.92,overcast clouds
345,La Ronge,CA,55.1001,-105.2842,12.2,85,3,2.3,clear sky
346,Yamasaki,JP,35.0,134.55,46.4,100,75,4.61,fog
